"node_id","cluster_id","doi","pmid"
5235006,1,"10.1261/rna.1399509",19029310
3821063,1,"10.1007/s00268-008-9836-x",19030926
3033753,1,"10.1053/j.gastro.2008.11.028",19049808
4733874,1,"10.1261/rna.1351608",18978028
6227521,1,"10.1038/35078107",11373684
115732,1,"10.1016/j.gene.2005.12.031",16503100
887594,1,"10.1016/j.gde.2006.02.012",16503132
5293199,1,"10.1073/pnas.0511155103",16505370
3855959,1,"10.1101/gad.1399806",16510870
2034,1,"10.1007/s00335-005-0066-3",16518686
5615682,1,"10.1016/j.cell.2006.02.030",16530032
1922616,1,"10.1016/j.ccr.2006.01.025",16530703
2272728,1,"10.1126/science.1062961",11452083
5669172,1,"10.1038/35081168",11459066
2956336,1,"10.1016/s0092-8674(01)00431-7",11461699
5462897,1,"10.1016/s0960-9822(01)00299-8",11470406
6387657,1,"10.1038/nrg.2016.134",27795564
5341100,1,"10.1186/gm516",24373327
1754767,1,"10.1002/wrna.1213",24375960
2852068,1,"10.1261/rna.2239606",16373484
5509893,1,"10.1261/rna.2258506",16373485
2107267,1,"10.1016/j.cell.2005.10.040",16377567
2867958,1,"10.1016/j.cell.2005.11.035",16377568
4276033,1,"10.1038/ng1725",16380711
3792606,1,"10.1093/nar/gkj112",16381832
6196146,1,"10.1007/0-387-25856-6_1",16382868
5986127,1,"10.1105/tpc.105.038943",16387831
6060215,1,"10.1016/s1672-0229(05)03011-1",16393143
5384468,1,"10.1016/j.virol.2009.07.005",19665162
4444981,1,"10.1016/j.cell.2004.12.035",15652477
2730269,1,"10.1016/j.cell.2004.12.031",15652478
3782983,1,"10.1016/j.pbi.2004.11.008",15653398
5894602,1,"10.1038/nrm1568",15654322
2752539,1,"10.1146/annurev.med.56.082103.104606",15660519
877385,1,"10.1038/nrg908",12360232
1067345,1,"10.1101/gad.1025202",12368260
1893982,1,"10.1101/gad.1022002",12368261
3397581,1,"10.1111/j.1750-3639.2007.00121.x",18226106
1003023,1,"10.1111/j.1750-3639.2007.00119.x",18226107
6432120,1,"10.1111/j.1750-3639.2007.00120.x",18226108
2793590,1,"10.1073/pnas.0707594105",18227514
4233647,1,"10.1001/jama.299.4.425",18230780
13976068,1,"10.1002/mc.23260",33043516
4274907,1,"10.1183/09031936.00212011",22790917
2186431,1,"10.1016/bs.acr.2016.07.004",27613133
5549417,1,"10.1038/nature03868",15973356
4526903,1,"10.1016/j.gde.2005.06.012",15979303
1966094,1,"10.1073/pnas.0504029102",15980147
4661043,1,"10.1101/gad.1334005",15985611
3933580,1,"10.1093/nar/gki668",15987789
1194285,1,"10.1261/rna.2890305",15987809
